   3.4774996e+00   1.2092954e+01  -5.7091412e-02   3.3888934e+00   3.6550464e+02   8.0154386e+02   1.5622741e+00  -2.4948981e+01   2.2293881e+01
   3.2338784e+00   1.0457958e+01   1.2850441e-02   3.2882658e+00   4.7351013e+02   6.1871538e+02   1.5503272e+00  -2.5742486e+01   2.4399586e+01
   3.2111978e+00   1.0311785e+01   1.7004459e-02   3.3820607e+00   4.9779290e+02   5.8853390e+02   1.3959000e+00  -2.1530874e+01   2.1775074e+01
   1.7697575e+00   3.1320284e+00  -9.3531178e-03   3.0636371e+00  -3.6170145e+02  -8.0997186e+02  -1.5915713e-01  -8.4078782e+00   8.1179482e+00
   1.7174432e+00   2.9491434e+00  -1.2270850e-02   3.1232234e+00  -7.8559617e+01  -3.7292442e+03  -1.2745011e-01  -9.2013600e+00   8.3773600e+00
   3.3031184e+00   1.0909952e+01  -6.7243098e-02   4.4629269e+00  -1.2697860e+02  -2.3072234e+03   1.6466265e+00  -3.0198193e+01   2.4399593e+01
   3.0360535e+00   9.2172349e+00  -1.9402842e-02   3.4367800e+00  -1.4863214e+02  -1.9710945e+03   1.4909634e+00  -2.4948986e+01   2.5437286e+01
   3.0258382e+00   9.1545577e+00  -5.7704090e-04   3.0463432e+00  -8.8453768e+01  -3.3121031e+03   9.5127356e-01  -1.3916450e+01   1.5472950e+01
   3.3865917e+00   1.1468920e+01  -7.2015891e-02   5.3426714e+00  -3.0586687e+02  -9.5782849e+02   1.6941724e+00  -3.0457596e+01   2.5971396e+01
   3.5520629e+00   1.2617190e+01  -9.2364506e-02   4.5228697e+00   1.6749101e+03   1.7491566e+02   1.7953701e+00  -3.1251101e+01   2.7802501e+01
   3.8461790e+00   1.4792633e+01  -1.3650288e-01   6.6589355e+00   1.7027279e+02   1.7205803e+03   2.0287649e+00  -3.6500220e+01   3.4104520e+01
   3.1368774e+00   9.8387313e+00   3.2706104e-02   5.6410736e+00   8.6922827e+01   3.3704380e+03   1.6518205e+00  -2.8885900e+01   2.9648800e+01
   3.4781363e+00   1.2097143e+01  -9.9868091e-02   4.8615337e+00  -1.9147421e+02  -1.5300651e+03   1.7794966e+00  -3.0457602e+01   2.9114802e+01
   3.9212450e+00   1.5374225e+01  -2.5516776e-01   4.2646876e+00  -8.7897182e+01  -3.3330761e+03   1.8307067e+00  -2.9938795e+01   2.5711895e+01
   3.1164339e+00   9.7107969e+00  -8.9877737e-02   3.9322595e+00  -8.3395446e+01  -3.5129976e+03   1.4424398e+00  -2.2583780e+01   2.4399580e+01
   1.5605239e+00   2.4344620e+00  -7.4639206e-03   3.0323558e+00  -5.5833029e+01  -5.2472167e+03  -3.4939077e-01  -7.6296564e+00   7.8585464e+00
